"service","channel","brand","content","draft_created","post_id","status","error"
"tiktok","vesselprotocol","FertilityFund","ivf_cost_planning","True","6a0a571dd893125e86af5113","draft",
"tiktok","vesselprotocol","FertilityFund","employer_benefits_questions","True","6a0a571ec0f96224ff42fed1","draft",
"tiktok","vesselprotocol","MaleGenesis","male_fertility_questions","True","6a0a5720c0f96224ff42fef7","draft",
"tiktok","vesselprotocol","IVFCompare","clinic_comparison_questions","True","6a0a5722c0f96224ff42ff13","draft",
"pinterest","vessel0434","FertilityFund","ivf_cost_planning","True","6a0a5723d893125e86af518b","draft",
"pinterest","vessel0434","FertilityFund","employer_benefits_questions","True","6a0a5724c0f96224ff42ff56","draft",
"pinterest","vessel0434","MaleGenesis","male_fertility_questions","True","6a0a5725d893125e86af51af","draft",
"pinterest","vessel0434","IVFCompare","clinic_comparison_questions","True","6a0a5726c0f96224ff42ff72","draft",
